Src,Species,Duration,Bitrate ,Sampling Rate,Channels
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/1906%20mp3.mp3,Parus major,51 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/1891%20mp3.mp3,Parus major,36 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OYTNUVPRZS/LS110558_mesange_charbonniere_eigenhuis_noise_normal.mp3,Parus major,39 s,bitrate: 96000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QNKACACJYP/song1%20Erisk%2020120225%20x2%20highpass.mp3,Parus major,44 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/GreatTitay.mp3,Parus major,33 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/GreattitKkoy.mp3,Parus major,23 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ07h27m33s15apr2012.mp3,Parus major,28 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ09h15m53s07apr2012%20%282%29.mp3,Parus major,54 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/DM551838.mp3,Parus major,77 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/WYRGBDXALK/mesange%20charbonniere.mp3,Parus major,5 s,bitrate: 158204 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/SEIQHUBHAF/Great%20Tit%20%282%29.mp3,Parus major,14 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/SEIQHUBHAF/Great%20Tit.mp3,Parus major,24 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/kjottmeis220312GOD-021SN.mp3,Parus major,51 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/1737%20mp3.mp3,Parus major,63 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/2012_03_10_Parus_major_ViernhHeide_10Uhr15.mp3,Parus major,107 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/2012_03_10_Parus_major_ViernhHeide_9Uhr26.mp3,Parus major,75 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/2012_03_10_Parus_major_ViernhHeide_9Uhr13.mp3,Parus major,23 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/2012_03_10_Parus_major_ViernhHeide_8Uhr52.mp3,Parus major,25 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120306_08_GreatTit_call_Fiby_N5.mp3,Parus major,93 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
